value	recursive	iterative	exponentiation	
0,000000000	0,000134024	0,000109573	0,000081803	
1,000000000	0,000002414	0,000001509	0,000060975	
2,000000000	0,000002113	0,000001208	0,000006339	
3,000000000	0,000004830	0,000024450	0,000650197	
4,000000000	0,000003019	0,000002415	0,000013282	
5,000000000	0,000002113	0,000001811	0,000008150	
6,000000000	0,000002717	0,000002415	0,000013885	
7,000000000	0,000003321	0,000002717	0,000008754	
8,000000000	0,000009056	0,000002415	0,000009961	
9,000000000	0,000007848	0,000002415	0,000007849	
10,000000000	0,000011169	0,000002717	0,000012980	
11,000000000	0,000017206	0,000002716	0,000011471	
12,000000000	0,000031091	0,000002717	0,000012075	
13,000000000	0,000049202	0,000003321	0,000009961	
14,000000000	0,000069125	0,000002716	0,000010866	
15,000000000	0,000119233	0,000003321	0,000012678	
16,000000000	0,001088190	0,000003019	0,000017508	
17,000000000	0,000322683	0,000002716	0,000012376	
18,000000000	0,000086330	0,000003622	0,000012376	
19,000000000	0,000060371	0,000003019	0,000012074	
20,000000000	0,000097198	0,000003321	0,000014187	
21,000000000	0,000156361	0,000003622	0,000019319	
22,000000000	0,000252351	0,000003622	0,000013583	
23,000000000	0,000419278	0,000003622	0,000029884	
24,000000000	0,000670724	0,000003622	0,000017206	
25,000000000	0,001091510	0,000003622	0,000012980	
26,000000000	0,002009151	0,000003924	0,000012980	
27,000000000	0,003008596	0,000004226	0,000012979	
28,000000000	0,004835427	0,000004226	0,000014187	
29,000000000	0,007895640	0,000004528	0,000124666	
30,000000000	0,013021754	0,000004226	0,000016300	
31,000000000	0,021114807	0,000004226	0,000014791	
32,000000000	0,033355963	0,000004527	0,000017206	
33,000000000	0,054698369	0,000004528	0,000012980	
34,000000000	0,088109873	0,000004528	0,000015395	
35,000000000	0,142379607	0,000004528	0,000014187	
36,000000000	0,229674168	0,000004528	0,000029581	
37,000000000	0,371230313	0,000005131	0,000014187	
38,000000000	0,597817101	0,000004528	0,000015394	
39,000000000	0,958724853	0,000005131	0,000014791	
40,000000000	1,536207141	0,000004830	0,000024450	
41,000000000	2,483506754	0,000004830	0,000013885	
42,000000000	3,998015601	0,000009358	0,000016300	
43,000000000	6,465647763	0,000005735	0,000015395	
44,000000000	10,515051885	0,000610353	0,000016300	
45,000000000	16,891766010	0,000006037	0,000014791	
