value	iterative	exponentiation	
0,000000000	0,000002113	0,000010263	
100000,000000000	0,149868346	0,018754597	
200000,000000000	0,509371563	0,075477211	
300000,000000000	1,136400751	0,166565193	
400000,000000000	1,940020665	0,294944430	
500000,000000000	3,003854093	0,462975736	
600000,000000000	4,390469087	0,661624570	
700000,000000000	5,945908361	0,908166133	
800000,000000000	7,710022002	1,171376773	
900000,000000000	9,774011792	1,487302288	
1000000,000000000	12,094060053	1,846158327	
1100000,000000000	14,640671858	2,222483360	
1200000,000000000	17,431241342	2,649295272	
1300000,000000000	20,539497972	3,099154774	
1400000,000000000	23,931897728	3,597562032	
1500000,000000000	27,395903999	4,140638202	
1600000,000000000	31,267311048	4,709198540	
1700000,000000000	35,311082240	5,320383623	
1800000,000000000	39,621353998	5,973594567	
1900000,000000000	44,114694910	6,627457521	
2000000,000000000	48,992117340	7,363404402	
